ID,Name,Type,Description,Year Acquired
R9001,Crust-Piercer,Relic Champion's Blade,"The ancestral blade of the Lost Trinity, claimed by Garrick from the cooling hands of the final Chapter Master at The Death of The Cinder-Commander; it is the master-key of the Chain Breakers' authority.",634
R0012,The Sovereign Link,Chainsword,Features oversized obsidian teeth; gifted by the Doom Eagles survivors during the founding.,638
R0022,The Iron Rain Seal,Crux Terminatus,Contains a shard of the first drop-pod to strike Terminus Nox.,639
R0011,Slag-Stalker,Combat Knife,Forged from the first batch of steel smelted in the Iron Forest capital.,640
R0045,The Steel-Rain Spike,Lightning Claw,"A single, oversized claw meant for piercing heavy hull-plating.",645
R0001,Sunder’s Echo,Power Sword,A heavy-bladed master-work gifted by the Storm Giants; its edge is tempered in geothermal vents.,650
R0005,Phoros’s Debt,Bolt Pistol,Issued by Malakim Phoros; unpainted steel that never rusts despite Noxian humidity.,655
R0044,Laden-Hand Token,Relic Pendant,A piece of the Flagship's first anchor chain; brings stability to the soul.,661
R0038,Smog-Piercer,Flamer,Uses a concentrated oxygen-mix to burn even in oxygen-depleted sumps.,670
R0030,Rust-Bane,Bolter,Coated in a rare frictionless polymer from the Lux-Hemisphere laboratories.,685
R0018,The Deep-Vigil,Auspex,Modified to detect bio-signs through kilometers of industrial sludge.,690
R0006,The Scouring Drill,Chainfist,Industrial boarding tool; teeth forged from recycled mining-rig grinders.,700
R0033,The Forgemaster’s Gift,Plasma Gun,Features an external cooling rig designed by Forge-Master Xavor.,705
R0015,Soot-Walker’s Plate,Artificer Armor,Reinforced with slag-glass; provides superior protection against caustic environments.,712
R0041,The Piston-Blade,Combat Knife,Features a spring-loaded hilt for increased armor-piercing thrusts.,720
R0002,The Verdigris Aegis,Storm Shield,Crafted from a hull-plate of the 'Gilded Lash'; it bears a permanent teal chemical patina.,725
R0021,Titan’s Tooth,Chainfist,Recovered from a downed Warhound Titan; repurposed for Astartes-scale boarding.,730
R0047,The Chain-Link Bolt,Crossbow-Bolter,A specialized silent weapon for covert operations in the Iron Forest.,735
R0025,Ash-Eater,Heavy Bolter,Equipped with specialized filters to prevent jamming in volcanic fallout zones.,740
R0017,Garrick’s Resolve,Storm Bolter,Heavy-duty variant with a reinforced carry-handle for one-handed suppression.,755
R0031,The Vault-Key,Power Sword,"A thin, needle-like blade used for precision strikes in cramped hive-corridors.",760
R0035,The Gilded Claw,Lightning Claw,Salvaged from the 'Gilded Lash'; its blades are gold-etched steel.,767
R9002,Tempest Teeth,Master-Crafted Storm Bolter,"Salvaged from the 'Tempest Anvil' hull; the barrel rifling has been aggressively re-cut using diamond-tipped mining drills, causing the weapon to fire with a jagged, grinding roar that mimics the sound of a collapsing tunnel.",772
R0028,The Sentinel’s Eye,Targeting Array,Salvaged from an ancient Watch-Keep; grants superior low-light accuracy.,775
R9003,The Bubble,Power Armor,"A master-crafted suit of Mark VIII 'Errant' plate, the pinnacle of 576.M41 protection; heavily modified with reinforced seals and high-density stabilizers to endure the crushing gravity of Nox.",775
R0013,Noxian Hearth-Fire,Plasma Pistol,Its containment coil glows with the same teal hue as the Noxian auroras.,780
R0043,The Grinding Wheel,Power Axe,"Its circular blade spins at high RPM, doubling as a breach tool.",790
R1016,The Ordo Shield,Combat Shield,Bearing the Inquisition's I; its field is tuned to repel warp-lightning.,792
R0049,The Forge-Hammer,Thunder Hammer,A functional tool turned weapon; used in the construction of the Ring of Steel.,800
R0019,Mantle-Breaker,Meltagun,Originally a thermal mining drill; sanctified for the destruction of traitor armor.,805
R0003,Iron-Sire's Breath,Heavy Flamer,Recovered from the 'Shield of Terra' crash site; utilizes high-pressure mining fuel.,810
R0026,The Silent Foundry,Power Axe,Forged in total silence during the Siege of the Magma-Gates.,815
R1025,The Eternal Link,Iron Halo,"The central icon is replaced with a silver-etched chain link, symbolizing the vigil.",819
R0007,Anchor-Bolt,Siege Mantlet,Repurposed from an 'Anchor-Pillbox' hatch; establishes a mobile Ring of Steel.,820
R0034,Sump-Stalker's Hide,Camo-Cloak,Treated with chemical-resistant resins from the Verdigris Deep.,825
R0036,Void-Steel Buckler,Combat Shield,Forged from the airlock door of the 'Iron Curtain' escort vessel.,835
R0042,Cobalt-Shunt,Refractor Field,Salvaged from the 'Cobalt Shield'; glows with a faint blue light.,840
R0014,The Pillar of Iron,Thunder Hammer,The head is a solid block of high-density ore from the Nox-Hemisphere mines.,845
R0029,The Heavy Toll,Power Maul,"When struck, it emits a low-frequency chime that steadies nearby allies.",850
R0023,Noxian Storm-Caller,Boltgun,Features a customized muzzle brake that mimics the roar of Terminator Line gales.,860
R1015,Ossified Blade,Chainsword,Teeth made from hardened xenos bone; specifically effective against unarmored targets.,864
R0040,Hearth-Guardian,Bolter,Given to a brother who successfully defended a village for forty nights.,875
R1023,The Corrosive Edge,Combat Knife,The blade constantly weeps a mild acid that dissolves xenos armor plates.,882
R0016,The Unbroken Cog,Refractor Field,A gift from the Tech-Magi of Nox for protecting the Foundry Cities.,888
R0048,Mortal-Bond Plate,Chestpiece,Includes a small compartment for a scroll containing the names of fallen Serfs.,890
R0024,The Tectonic Plate,Storm Shield,Engraved with the map of the Ring of Steel; weighted for high-gravity combat.,895
R1024,Anchor-Keep Protocol,Signum,Coordinates orbital strikes from Deathwatch vessels with extreme precision.,899
R0004,The Lamented Link,Iron Halo,A soot-stained generator gifted by the Lamenters; its field hums with a mournful frequency.,905
R0020,The Bonded Blade,Power Sword,Its hilt is wrapped in the flight suit of a fallen Noxian PDF pilot.,912
R0046,Noxian Night-Eye,Helmet Sensor,Calibrated for the absolute darkness of the Nox-Hemisphere.,915
R0009,The Thresher’s Coil,Power Maul,Gifted by the Executioners; the head is a repurposed industrial crushing gear.,920
R1006,The Magnetic Hook,Grappling Launcher,Salvaged from a Halo Margin hulk; used for high-gravity boarding actions.,924
R0027,Link-Breaker’s End,Combat Knife,Taken from a defeated Chaos Lord; purified and reforged into a tool of justice.,930
R1019,Xenos-Hide Cloak,Relic Cape,Treated skin of a massive beast; provides protection against acidic spit.,939
R0032,Atmospheric Anchor,Jump Pack,Overpowered thrusters designed to function in Nox's 1.24 bar pressure.,940
R0008,Vrox’s Patience,Stalker Bolter,Precision rifle calibrated to pierce the thickest smog of the Verdigris Deep.,950
R1012,The Ghost-Anchor,Storm Shield,Flickers in and out of the material plane to deflect incoming fire.,959
R0037,The Terminator Line,Chainsword,The blade teeth rotate in alternating directions to maximize shredding.,960
R0010,Cinder-Plate Segment,Relic Pauldron,A piece of High Paladin Garrick's original armor; a physical tether to the Chapter's birth.,970
R1001,The Static Blade,Power Sword,Inlaid with Noctilith; disrupts xenos psychic shielding upon contact.,974
R0039,The Iron Pulse,Grav-Pistol,Utilizes the enhanced magnetic field of Nox to amplify its crushing force.,980
R0050,The Final Anchor,Storm Shield,An impossibly heavy shield that requires a secondary power-assist to lift.,999
R1014,The Hive-Piercer,Meltagun,A short-barreled variant optimized for clearing cramped Tyranid tunnels.,1001
R1020,The Gravity-Well,Grav-Gun,Modified to pin down fast-moving Aeldari raiders for the final blow.,1004
R1009,Noctis-Shroud,Camo-Cloak,Teal-dyed fibers woven with xenos light-bending technology.,1016
